,방송일시,hour,ampm,마더코드,상품코드,상품명,상품군,판매단가,노출시간,취급액,판매개수,date,month,rate,weekday,min_c,max_c,rain,snow,PM,state
30,2019-01-02,18,PM,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,60.0,101053000.0,1126.0,2019-01-02,1.0,0.073,수,-8.8,0.2,0.0,0.0,33.08,보통
32,2019-01-02,19,PM,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,60.0,128485000.0,2145.0,2019-01-02,1.0,0.03,수,-8.8,0.2,0.0,0.0,33.08,보통
34,2019-01-02,20,PM,100610,201862,푸마 INNO 심리스 롱드로즈 7종,속옷,89000,60.0,6026000.0,68.0,2019-01-02,1.0,0.018000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
35,2019-01-02,20,PM,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,속옷,89000,60.0,9321000.0,105.0,2019-01-02,1.0,0.018000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
36,2019-01-02,20,PM,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,89000,60.0,112405000.0,1263.0,2019-01-02,1.0,0.018000000000000002,수,-8.8,0.2,0.0,0.0,33.08,보통
38,2019-01-02,21,PM,100155,200487,무이자 LG전자 매직스페이스 냉장고,가전,1549000,60.0,47841000.0,31.0,2019-01-02,1.0,0.015,수,-8.8,0.2,0.0,0.0,33.08,보통
39,2019-01-02,21,PM,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,1409000,60.0,61526000.0,44.0,2019-01-02,1.0,0.015,수,-8.8,0.2,0.0,0.0,33.08,보통
44,2019-01-02,22,PM,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,60.0,10524000.0,8.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
45,2019-01-02,22,PM,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,60.0,30986000.0,15.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
46,2019-01-02,22,PM,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,60.0,14523000.0,5.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
47,2019-01-02,22,PM,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,60.0,12659000.0,10.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
48,2019-01-02,22,PM,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,60.0,82649000.0,44.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
49,2019-01-02,22,PM,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,60.0,0.0,0.0,2019-01-02,1.0,0.037000000000000005,수,-8.8,0.2,0.0,0.0,33.08,보통
51,2019-01-02,23,PM,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,60.0,106570000.0,1334.0,2019-01-02,1.0,0.061,수,-8.8,0.2,0.0,0.0,33.08,보통
88,2019-01-03,0,AM,100346,201072,테이트 남성 셀린니트3종,의류,39900,40.0,17810000.0,447.0,2019-01-03,1.0,0.015,목,-8.4,3.2,0.0,0.0,38.8,보통
89,2019-01-03,0,AM,100346,201079,테이트 여성 셀린니트3종,의류,39900,40.0,34570000.0,867.0,2019-01-03,1.0,0.015,목,-8.4,3.2,0.0,0.0,38.8,보통
58,2019-01-03,1,AM,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,57.1,55443000.0,940.0,2019-01-03,1.0,0.004,목,-8.4,3.2,0.0,0.0,38.8,보통
67,2019-01-03,6,AM,100781,202285,에펨 남성 미들퍼부츠,잡화,49800,60.0,12681000.0,255.0,2019-01-03,1.0,0.024,목,-8.4,3.2,0.0,0.0,38.8,보통
68,2019-01-03,6,AM,100781,202292,에펨 여성 미들퍼부츠,잡화,39800,60.0,17104000.0,430.0,2019-01-03,1.0,0.024,목,-8.4,3.2,0.0,0.0,38.8,보통
70,2019-01-03,7,AM,100582,201788,천연담아 명품다시팩 100포,농수축,39900,60.0,82616000.0,2071.0,2019-01-03,1.0,0.052000000000000005,목,-8.4,3.2,0.0,0.0,38.8,보통
74,2019-01-03,8,AM,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,60.0,76661000.0,971.0,2019-01-03,1.0,0.023,목,-8.4,3.2,0.0,0.0,38.8,보통
76,2019-01-03,9,AM,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,39000,60.0,73259000.0,1879.0,2019-01-03,1.0,0.012,목,-8.4,3.2,0.0,0.0,38.8,보통
83,2019-01-03,10,AM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,102903000.0,945.0,2019-01-03,1.0,0.026000000000000002,목,-8.4,3.2,0.0,0.0,38.8,보통
85,2019-01-03,11,AM,100816,202404,보코 리버시블 무스탕,의류,79000,60.0,84789000.0,1074.0,2019-01-03,1.0,0.038,목,-8.4,3.2,0.0,0.0,38.8,보통
90,2019-01-03,12,PM,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,60.0,88529000.0,1284.0,2019-01-03,1.0,0.015,목,-8.4,3.2,0.0,0.0,38.8,보통
59,2019-01-03,13,PM,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60.0,116724000.0,2933.0,2019-01-03,1.0,0.006999999999999999,목,-8.4,3.2,0.0,0.0,38.8,보통
60,2019-01-03,14,PM,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,60.0,119902000.0,1093.0,2019-01-03,1.0,0.039,목,-8.4,3.2,0.0,0.0,38.8,보통
61,2019-01-03,15,PM,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,60.0,61373000.0,282.0,2019-01-03,1.0,0.0,목,-8.4,3.2,0.0,0.0,38.8,보통
62,2019-01-03,15,PM,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,60.0,13447000.0,65.0,2019-01-03,1.0,0.0,목,-8.4,3.2,0.0,0.0,38.8,보통
63,2019-01-03,15,PM,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,60.0,14227000.0,72.0,2019-01-03,1.0,0.0,목,-8.4,3.2,0.0,0.0,38.8,보통
64,2019-01-03,15,PM,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,60.0,59276000.0,285.0,2019-01-03,1.0,0.0,목,-8.4,3.2,0.0,0.0,38.8,보통
65,2019-01-03,16,PM,100832,202444,청정수산 완도활전복 35미,농수축,59900,60.0,134221000.0,2241.0,2019-01-03,1.0,0.055999999999999994,목,-8.4,3.2,0.0,0.0,38.8,보통
66,2019-01-03,17,PM,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,60.0,76649000.0,1259.0,2019-01-03,1.0,0.032,목,-8.4,3.2,0.0,0.0,38.8,보통
69,2019-01-03,18,PM,100702,202074,영산포숙성 홍어8팩+무침3통,농수축,40900,60.0,148904000.0,3641.0,2019-01-03,1.0,0.042,목,-8.4,3.2,0.0,0.0,38.8,보통
71,2019-01-03,19,PM,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,60.0,71433000.0,803.0,2019-01-03,1.0,0.034,목,-8.4,3.2,0.0,0.0,38.8,보통
72,2019-01-03,19,PM,100610,201861,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,60.0,13897000.0,157.0,2019-01-03,1.0,0.034,목,-8.4,3.2,0.0,0.0,38.8,보통
73,2019-01-03,19,PM,100610,201865,푸마 NEW 트렁크 패키지,속옷,89000,60.0,10129000.0,114.0,2019-01-03,1.0,0.034,목,-8.4,3.2,0.0,0.0,38.8,보통
75,2019-01-03,20,PM,100501,201514,노비타 스마트 비데,생활용품,189000,60.0,232596000.0,1231.0,2019-01-03,1.0,0.022000000000000002,목,-8.4,3.2,0.0,0.0,38.8,보통
77,2019-01-03,21,PM,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,60.0,31423000.0,22.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
78,2019-01-03,21,PM,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,60.0,46380000.0,22.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
79,2019-01-03,21,PM,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,60.0,7299000.0,3.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
80,2019-01-03,21,PM,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,60.0,25217000.0,20.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
81,2019-01-03,21,PM,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,60.0,45919000.0,25.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
82,2019-01-03,21,PM,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,60.0,19738000.0,8.0,2019-01-03,1.0,0.008,목,-8.4,3.2,0.0,0.0,38.8,보통
84,2019-01-03,22,PM,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60.0,87262000.0,971.0,2019-01-03,1.0,0.027000000000000003,목,-8.4,3.2,0.0,0.0,38.8,보통
86,2019-01-03,23,PM,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,60.0,39733000.0,569.0,2019-01-03,1.0,0.073,목,-8.4,3.2,0.0,0.0,38.8,보통
87,2019-01-03,23,PM,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,60.0,39929000.0,572.0,2019-01-03,1.0,0.073,목,-8.4,3.2,0.0,0.0,38.8,보통
118,2019-01-04,0,AM,100049,202044,마리노블 밍크 롱코트,의류,499000,60.0,57383000.0,115.0,2019-01-04,1.0,0.0,금,-6.2,4.1,0.0,0.0,59.44,보통
91,2019-01-04,1,AM,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,57.1,48878000.0,1641.0,2019-01-04,1.0,0.047,금,-6.2,4.1,0.0,0.0,59.44,보통
97,2019-01-04,6,AM,100651,201972,제주농장 유기 양배추진액 120포,건강기능,74900,60.0,71174000.0,951.0,2019-01-04,1.0,0.004,금,-6.2,4.1,0.0,0.0,59.44,보통
99,2019-01-04,7,AM,100226,200789,코이모 리빙박스 8종,생활용품,49800,40.0,67545000.0,1357.0,2019-01-04,1.0,0.0,금,-6.2,4.1,0.0,0.0,59.44,보통
100,2019-01-04,7,AM,100226,201019,코이모 리빙박스 8종,생활용품,49800,20.0,10166000.0,205.0,2019-01-04,1.0,0.0,금,-6.2,4.1,0.0,0.0,59.44,보통
103,2019-01-04,8,AM,100717,202101,로베르타 디 까메리노 360커브드 지퍼 쉐이핑 란쥬,속옷,89900,60.0,62837000.0,699.0,2019-01-04,1.0,0.059000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
105,2019-01-04,9,AM,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,60.0,14922000.0,69.0,2019-01-04,1.0,0.044000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
106,2019-01-04,9,AM,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,60.0,43257000.0,182.0,2019-01-04,1.0,0.044000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
107,2019-01-04,9,AM,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,60.0,5534000.0,27.0,2019-01-04,1.0,0.044000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
108,2019-01-04,9,AM,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,60.0,27402000.0,121.0,2019-01-04,1.0,0.044000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
110,2019-01-04,10,AM,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,60.0,59016000.0,271.0,2019-01-04,1.0,0.011000000000000001,금,-6.2,4.1,0.0,0.0,59.44,보통
111,2019-01-04,10,AM,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,60.0,11186000.0,54.0,2019-01-04,1.0,0.011000000000000001,금,-6.2,4.1,0.0,0.0,59.44,보통
112,2019-01-04,10,AM,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,60.0,14937000.0,76.0,2019-01-04,1.0,0.011000000000000001,금,-6.2,4.1,0.0,0.0,59.44,보통
113,2019-01-04,10,AM,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,60.0,49659000.0,239.0,2019-01-04,1.0,0.011000000000000001,금,-6.2,4.1,0.0,0.0,59.44,보통
116,2019-01-04,11,AM,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,60.0,85009000.0,780.0,2019-01-04,1.0,0.035,금,-6.2,4.1,0.0,0.0,59.44,보통
119,2019-01-04,12,PM,100253,200864,안동간고등어 20팩,농수축,30900,60.0,125512000.0,4062.0,2019-01-04,1.0,0.033,금,-6.2,4.1,0.0,0.0,59.44,보통
92,2019-01-04,13,PM,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,60.0,92222000.0,840.0,2019-01-04,1.0,0.059000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
93,2019-01-04,14,PM,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,60.0,87263000.0,1480.0,2019-01-04,1.0,0.021,금,-6.2,4.1,0.0,0.0,59.44,보통
94,2019-01-04,15,PM,100199,200670,소들녘 소 갈비탕,농수축,50900,60.0,122899000.0,2415.0,2019-01-04,1.0,0.036000000000000004,금,-6.2,4.1,0.0,0.0,59.44,보통
95,2019-01-04,16,PM,100844,202491,하늘내린 용대리황태10미,농수축,32900,60.0,115409000.0,3508.0,2019-01-04,1.0,0.015,금,-6.2,4.1,0.0,0.0,59.44,보통
96,2019-01-04,17,PM,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,60.0,111035000.0,1237.0,2019-01-04,1.0,0.018000000000000002,금,-6.2,4.1,0.0,0.0,59.44,보통
98,2019-01-04,18,PM,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,60.0,140992000.0,2354.0,2019-01-04,1.0,0.011000000000000001,금,-6.2,4.1,0.0,0.0,59.44,보통
101,2019-01-04,19,PM,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,60.0,82568000.0,169.0,2019-01-04,1.0,0.01,금,-6.2,4.1,0.0,0.0,59.44,보통
102,2019-01-04,19,PM,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,60.0,86664000.0,198.0,2019-01-04,1.0,0.01,금,-6.2,4.1,0.0,0.0,59.44,보통
104,2019-01-04,20,PM,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60.0,161417000.0,4056.0,2019-01-04,1.0,0.0,금,-6.2,4.1,0.0,0.0,59.44,보통
109,2019-01-04,21,PM,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,60.0,112617000.0,1410.0,2019-01-04,1.0,0.054000000000000006,금,-6.2,4.1,0.0,0.0,59.44,보통
114,2019-01-04,22,PM,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,60.0,55851000.0,800.0,2019-01-04,1.0,0.055,금,-6.2,4.1,0.0,0.0,59.44,보통
115,2019-01-04,22,PM,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,60.0,46295000.0,663.0,2019-01-04,1.0,0.055,금,-6.2,4.1,0.0,0.0,59.44,보통
117,2019-01-04,23,PM,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,60.0,79745000.0,267.0,2019-01-04,1.0,0.035,금,-6.2,4.1,0.0,0.0,59.44,보통
152,2019-01-05,0,AM,100212,200756,스포메틱스 리얼핏 모이스춰라이징 코코넛크림,이미용,49900,60.0,58478000.0,1172.0,2019-01-05,1.0,0.037000000000000005,토,-5.5,1.1,0.0,0.0,65.72,보통
120,2019-01-05,1,AM,100293,200949,무이자[가이거] 제니스시계 주얼리세트,잡화,139000,57.1,30913000.0,223.0,2019-01-05,1.0,0.042,토,-5.5,1.1,0.0,0.0,65.72,보통
121,2019-01-05,1,AM,100293,200952,일시불[가이거] 제니스시계 주얼리세트,잡화,129000,57.1,65816000.0,511.0,2019-01-05,1.0,0.042,토,-5.5,1.1,0.0,0.0,65.72,보통
128,2019-01-05,6,AM,100267,200883,스칼프솔루션 트리트먼트 패키지,이미용,50900,60.0,35108000.0,690.0,2019-01-05,1.0,0.026000000000000002,토,-5.5,1.1,0.0,0.0,65.72,보통
130,2019-01-05,7,AM,100222,200773,아문센 남성 윈터 하드쉘 세트,의류,79000,60.0,30218000.0,383.0,2019-01-05,1.0,0.023,토,-5.5,1.1,0.0,0.0,65.72,보통
131,2019-01-05,7,AM,100222,200774,아문센 여성 윈터 하드쉘 세트,의류,79000,60.0,19209000.0,244.0,2019-01-05,1.0,0.023,토,-5.5,1.1,0.0,0.0,65.72,보통
136,2019-01-05,8,AM,100761,202216,마담팰리스 웜기모 롱베스트 3종세트,의류,39900,60.0,118333000.0,2966.0,2019-01-05,1.0,0.028999999999999998,토,-5.5,1.1,0.0,0.0,65.72,보통
140,2019-01-05,9,AM,100305,200988,오모떼 프런트후크 데오브라 시즌2,속옷,59000,60.0,131746000.0,2233.0,2019-01-05,1.0,0.022000000000000002,토,-5.5,1.1,0.0,0.0,65.72,보통
147,2019-01-05,10,AM,100816,202404,보코 리버시블 무스탕,의류,79000,60.0,81471000.0,1032.0,2019-01-05,1.0,0.035,토,-5.5,1.1,0.0,0.0,65.72,보통
