,date,hour,rate
108,2019-01-05,12,7
109,2019-01-05,13,4
110,2019-01-05,14,2
111,2019-01-05,15,3
112,2019-01-05,16,2
113,2019-01-05,17,6
114,2019-01-05,18,4
115,2019-01-05,19,6
116,2019-01-05,20,0
117,2019-01-05,21,0
118,2019-01-05,22,0
119,2019-01-05,23,2
120,2019-01-06,00,6
121,2019-01-06,01,0
122,2019-01-06,02,0
123,2019-01-06,03,1
124,2019-01-06,04,0
125,2019-01-06,05,0
126,2019-01-06,06,9
127,2019-01-06,07,21
128,2019-01-06,08,2
129,2019-01-06,09,5
130,2019-01-06,10,5
131,2019-01-06,11,22
132,2019-01-06,12,7
133,2019-01-06,13,13
134,2019-01-06,14,13
135,2019-01-06,15,53
136,2019-01-06,16,30
137,2019-01-06,17,9
138,2019-01-06,18,1
139,2019-01-06,19,3
140,2019-01-06,20,16
141,2019-01-06,21,1
142,2019-01-06,22,3
143,2019-01-06,23,3
144,2019-01-07,00,25
145,2019-01-07,01,50
146,2019-01-07,02,0
147,2019-01-07,03,0
148,2019-01-07,04,4
149,2019-01-07,05,3
150,2019-01-07,06,0
151,2019-01-07,07,0
152,2019-01-07,08,9
153,2019-01-07,09,0
154,2019-01-07,10,9
155,2019-01-07,11,1
156,2019-01-07,12,3
157,2019-01-07,13,30
158,2019-01-07,14,26
159,2019-01-07,15,22
160,2019-01-07,16,3
161,2019-01-07,17,4
162,2019-01-07,18,8
163,2019-01-07,19,22
164,2019-01-07,20,9
165,2019-01-07,21,5
166,2019-01-07,22,18
167,2019-01-07,23,4
168,2019-01-08,00,6
169,2019-01-08,01,1
170,2019-01-08,02,4
171,2019-01-08,03,0
172,2019-01-08,04,1
173,2019-01-08,05,0
174,2019-01-08,06,34
175,2019-01-08,07,28
176,2019-01-08,08,30
177,2019-01-08,09,1
178,2019-01-08,10,8
179,2019-01-08,11,7
180,2019-01-08,12,7
181,2019-01-08,13,1
182,2019-01-08,14,5
183,2019-01-08,15,1
184,2019-01-08,16,27
185,2019-01-08,17,10
186,2019-01-08,18,5
187,2019-01-08,19,5
188,2019-01-08,20,10
189,2019-01-08,21,11
190,2019-01-08,22,1
191,2019-01-08,23,12
192,2019-01-09,00,0
193,2019-01-09,01,12
194,2019-01-09,02,0
195,2019-01-09,03,0
196,2019-01-09,04,0
197,2019-01-09,05,0
198,2019-01-09,06,1
199,2019-01-09,07,0
200,2019-01-09,08,2
201,2019-01-09,09,5
202,2019-01-09,10,13
203,2019-01-09,11,2
204,2019-01-09,12,4
205,2019-01-09,13,51
206,2019-01-09,14,5
207,2019-01-09,15,35
208,2019-01-09,16,15
209,2019-01-09,17,1
210,2019-01-09,18,31
211,2019-01-09,19,7
212,2019-01-09,20,1
213,2019-01-09,21,4
214,2019-01-09,22,1
215,2019-01-09,23,2
216,2019-01-10,00,7
217,2019-01-10,01,2
218,2019-01-10,02,10
219,2019-01-10,03,1
220,2019-01-10,04,15
221,2019-01-10,05,0
222,2019-01-10,06,1
223,2019-01-10,07,4
224,2019-01-10,08,2
225,2019-01-10,09,23
226,2019-01-10,10,0
227,2019-01-10,11,1
228,2019-01-10,12,14
229,2019-01-10,13,6
230,2019-01-10,14,1
231,2019-01-10,15,10
232,2019-01-10,16,12
233,2019-01-10,17,8
234,2019-01-10,18,5
235,2019-01-10,19,0
236,2019-01-10,20,6
237,2019-01-10,21,10
238,2019-01-10,22,0
239,2019-01-10,23,1
240,2019-01-11,00,2
241,2019-01-11,01,3
242,2019-01-11,02,0
243,2019-01-11,03,1
244,2019-01-11,04,2
245,2019-01-11,05,2
246,2019-01-11,06,0
247,2019-01-11,07,0
248,2019-01-11,08,2
249,2019-01-11,09,9
250,2019-01-11,10,1
251,2019-01-11,11,6
252,2019-01-11,12,2
253,2019-01-11,13,0
254,2019-01-11,14,1
255,2019-01-11,15,7
256,2019-01-11,16,29
257,2019-01-11,17,2
258,2019-01-11,18,1
259,2019-01-11,19,6
260,2019-01-11,20,0
261,2019-01-11,21,47
262,2019-01-11,22,9
263,2019-01-11,23,0
264,2019-01-12,00,5
265,2019-01-12,01,0
266,2019-01-12,02,12
267,2019-01-12,03,0
268,2019-01-12,04,1
269,2019-01-12,05,0
270,2019-01-12,06,15
271,2019-01-12,07,6
272,2019-01-12,08,6
273,2019-01-12,09,15
274,2019-01-12,10,7
275,2019-01-12,11,0
276,2019-01-12,12,6
277,2019-01-12,13,1
278,2019-01-12,14,2
279,2019-01-12,15,6
280,2019-01-12,16,14
281,2019-01-12,17,10
282,2019-01-12,18,3
283,2019-01-12,19,9
284,2019-01-12,20,6
285,2019-01-12,21,8
286,2019-01-12,22,18
287,2019-01-12,23,4
288,2019-01-13,00,13
289,2019-01-13,01,2
290,2019-01-13,02,6
291,2019-01-13,03,0
292,2019-01-13,04,0
293,2019-01-13,05,0
294,2019-01-13,06,5
295,2019-01-13,07,7
296,2019-01-13,08,4
297,2019-01-13,09,17
298,2019-01-13,10,1
299,2019-01-13,11,8
300,2019-01-13,12,1
301,2019-01-13,13,9
302,2019-01-13,14,1
303,2019-01-13,15,37
304,2019-01-13,16,7
305,2019-01-13,17,0
306,2019-01-13,18,9
307,2019-01-13,19,31
308,2019-01-13,20,4
309,2019-01-13,21,0
310,2019-01-13,22,3
311,2019-01-13,23,9
312,2019-01-14,00,5
313,2019-01-14,01,2
314,2019-01-14,02,0
315,2019-01-14,03,1
316,2019-01-14,04,1
317,2019-01-14,05,2
318,2019-01-14,06,0
319,2019-01-14,07,3
320,2019-01-14,08,1
321,2019-01-14,09,1
322,2019-01-14,10,2
323,2019-01-14,11,6
324,2019-01-14,12,13
325,2019-01-14,13,60
326,2019-01-14,14,43
327,2019-01-14,15,13
328,2019-01-14,16,3
329,2019-01-14,17,7
330,2019-01-14,18,60
331,2019-01-14,19,23
332,2019-01-14,20,3
333,2019-01-14,21,2
334,2019-01-14,22,3
335,2019-01-14,23,4
336,2019-01-15,00,1
337,2019-01-15,01,3
338,2019-01-15,02,5
339,2019-01-15,03,0
340,2019-01-15,04,9
341,2019-01-15,05,0
342,2019-01-15,06,0
343,2019-01-15,07,7
344,2019-01-15,08,1
345,2019-01-15,09,1
346,2019-01-15,10,2
347,2019-01-15,11,6
348,2019-01-15,12,23
349,2019-01-15,13,3
350,2019-01-15,14,1
351,2019-01-15,15,4
352,2019-01-15,16,7
353,2019-01-15,17,22
354,2019-01-15,18,6
355,2019-01-15,19,0
356,2019-01-15,20,12
357,2019-01-15,21,4
358,2019-01-15,22,8
359,2019-01-15,23,10
360,2019-01-16,00,17
361,2019-01-16,01,15
362,2019-01-16,02,1
363,2019-01-16,03,6
364,2019-01-16,04,4
365,2019-01-16,05,3
366,2019-01-16,06,0
367,2019-01-16,07,1
368,2019-01-16,08,0
369,2019-01-16,09,12
370,2019-01-16,10,2
371,2019-01-16,11,3
372,2019-01-16,12,0
373,2019-01-16,13,1
374,2019-01-16,14,13
375,2019-01-16,15,9
376,2019-01-16,16,5
377,2019-01-16,17,5
378,2019-01-16,18,22
379,2019-01-16,19,19
380,2019-01-16,20,1
381,2019-01-16,21,4
382,2019-01-16,22,16
383,2019-01-16,23,2
384,2019-01-17,00,0
385,2019-01-17,01,1
386,2019-01-17,02,7
387,2019-01-17,03,1
388,2019-01-17,04,10
389,2019-01-17,05,0
390,2019-01-17,06,7
391,2019-01-17,07,1
392,2019-01-17,08,4
393,2019-01-17,09,16
394,2019-01-17,10,0
395,2019-01-17,11,20
396,2019-01-17,12,0
397,2019-01-17,13,28
398,2019-01-17,14,44
399,2019-01-17,15,60
400,2019-01-17,16,60
401,2019-01-17,17,31
402,2019-01-17,18,9
403,2019-01-17,19,2
404,2019-01-17,20,0
405,2019-01-17,21,0
406,2019-01-17,22,7
407,2019-01-17,23,1
408,2019-01-18,00,9
409,2019-01-18,01,10
410,2019-01-18,02,0
411,2019-01-18,03,0
412,2019-01-18,04,0
413,2019-01-18,05,0
414,2019-01-18,06,0
415,2019-01-18,07,3
416,2019-01-18,08,2
417,2019-01-18,09,0
418,2019-01-18,10,2
419,2019-01-18,11,20
420,2019-01-18,12,3
421,2019-01-18,13,2
422,2019-01-18,14,15
423,2019-01-18,15,19
424,2019-01-18,16,3
425,2019-01-18,17,5
426,2019-01-18,18,9
427,2019-01-18,19,6
428,2019-01-18,20,2
429,2019-01-18,21,7
430,2019-01-18,22,45
431,2019-01-18,23,8
432,2019-01-19,00,4
433,2019-01-19,01,3
434,2019-01-19,02,0
435,2019-01-19,03,3
436,2019-01-19,04,0
437,2019-01-19,05,0
438,2019-01-19,06,0
439,2019-01-19,07,10
440,2019-01-19,08,32
441,2019-01-19,09,7
442,2019-01-19,10,15
443,2019-01-19,11,8
444,2019-01-19,12,7
445,2019-01-19,13,1
446,2019-01-19,14,6
447,2019-01-19,15,12
448,2019-01-19,16,25
449,2019-01-19,17,18
450,2019-01-19,18,7
451,2019-01-19,19,3
452,2019-01-19,20,14
453,2019-01-19,21,17
454,2019-01-19,22,1
455,2019-01-19,23,3
456,2019-01-20,00,0
457,2019-01-20,01,0
458,2019-01-20,02,1
459,2019-01-20,03,0
460,2019-01-20,04,15
461,2019-01-20,05,3
462,2019-01-20,06,1
463,2019-01-20,07,3
464,2019-01-20,08,7
465,2019-01-20,09,0
466,2019-01-20,10,8
467,2019-01-20,11,2
468,2019-01-20,12,10
469,2019-01-20,13,5
470,2019-01-20,14,1
471,2019-01-20,15,8
472,2019-01-20,16,6
473,2019-01-20,17,13
474,2019-01-20,18,4
475,2019-01-20,19,2
476,2019-01-20,20,1
477,2019-01-20,21,3
478,2019-01-20,22,6
479,2019-01-20,23,5
480,2019-01-21,00,2
481,2019-01-21,01,0
482,2019-01-21,02,1
483,2019-01-21,03,1
484,2019-01-21,04,0
485,2019-01-21,05,0
486,2019-01-21,06,0
487,2019-01-21,07,0
488,2019-01-21,08,5
489,2019-01-21,09,4
490,2019-01-21,10,3
491,2019-01-21,11,9
492,2019-01-21,12,1
493,2019-01-21,13,1
494,2019-01-21,14,27
495,2019-01-21,15,60
496,2019-01-21,16,47
497,2019-01-21,17,16
498,2019-01-21,18,14
499,2019-01-21,19,13
500,2019-01-21,20,17
501,2019-01-21,21,0
502,2019-01-21,22,2
503,2019-01-21,23,12
504,2019-01-22,00,3
505,2019-01-22,01,2
506,2019-01-22,02,0
507,2019-01-22,03,0
508,2019-01-22,04,0
509,2019-01-22,05,0
510,2019-01-22,06,3
511,2019-01-22,07,2
512,2019-01-22,08,1
513,2019-01-22,09,3
514,2019-01-22,10,1
515,2019-01-22,11,11
516,2019-01-22,12,0
517,2019-01-22,13,0
518,2019-01-22,14,1
519,2019-01-22,15,9
520,2019-01-22,16,9
521,2019-01-22,17,60
522,2019-01-22,18,24
523,2019-01-22,19,11
524,2019-01-22,20,15
525,2019-01-22,21,7
526,2019-01-22,22,23
527,2019-01-22,23,13
528,2019-01-23,00,45
529,2019-01-23,01,5
530,2019-01-23,02,0
531,2019-01-23,03,0
532,2019-01-23,04,0
533,2019-01-23,05,2
534,2019-01-23,06,16
535,2019-01-23,07,2
536,2019-01-23,08,0
537,2019-01-23,09,1
538,2019-01-23,10,4
539,2019-01-23,11,2
540,2019-01-23,12,0
541,2019-01-23,13,8
542,2019-01-23,14,0
543,2019-01-23,15,0
544,2019-01-23,16,5
545,2019-01-23,17,20
546,2019-01-23,18,9
547,2019-01-23,19,24
548,2019-01-23,20,16
549,2019-01-23,21,17
550,2019-01-23,22,10
551,2019-01-23,23,4
552,2019-01-24,00,2
553,2019-01-24,01,0
554,2019-01-24,02,2
555,2019-01-24,03,1
556,2019-01-24,04,0
557,2019-01-24,05,2
558,2019-01-24,06,2
559,2019-01-24,07,18
560,2019-01-24,08,3
561,2019-01-24,09,0
562,2019-01-24,10,7
563,2019-01-24,11,1
564,2019-01-24,12,30
565,2019-01-24,13,1
566,2019-01-24,14,2
567,2019-01-24,15,2
568,2019-01-24,16,10
569,2019-01-24,17,2
570,2019-01-24,18,1
571,2019-01-24,19,0
572,2019-01-24,20,9
573,2019-01-24,21,7
574,2019-01-24,22,17
575,2019-01-24,23,3
576,2019-01-25,00,23
577,2019-01-25,01,60
578,2019-01-25,02,7
579,2019-01-25,03,0
580,2019-01-25,04,0
581,2019-01-25,05,5
582,2019-01-25,06,6
583,2019-01-25,07,0
584,2019-01-25,08,6
585,2019-01-25,09,3
586,2019-01-25,10,12
587,2019-01-25,11,3
588,2019-01-25,12,27
589,2019-01-25,13,0
590,2019-01-25,14,39
591,2019-01-25,15,22
592,2019-01-25,16,41
593,2019-01-25,17,10
594,2019-01-25,18,25
595,2019-01-25,19,8
596,2019-01-25,20,16
597,2019-01-25,21,20
598,2019-01-25,22,9
599,2019-01-25,23,7
600,2019-01-26,00,4
601,2019-01-26,01,0
602,2019-01-26,02,33
603,2019-01-26,03,7
604,2019-01-26,04,0
605,2019-01-26,05,1
606,2019-01-26,06,2
607,2019-01-26,07,0
608,2019-01-26,08,1
609,2019-01-26,09,4
610,2019-01-26,10,3
611,2019-01-26,11,4
612,2019-01-26,12,0
613,2019-01-26,13,8
614,2019-01-26,14,3
615,2019-01-26,15,13
616,2019-01-26,16,24
617,2019-01-26,17,15
618,2019-01-26,18,5
619,2019-01-26,19,14
620,2019-01-26,20,4
621,2019-01-26,21,9
622,2019-01-26,22,9
623,2019-01-26,23,0
624,2019-01-27,00,3
625,2019-01-27,01,7
626,2019-01-27,02,2
627,2019-01-27,03,2
628,2019-01-27,04,0
629,2019-01-27,05,0
630,2019-01-27,06,2
631,2019-01-27,07,0
632,2019-01-27,08,3
633,2019-01-27,09,5
634,2019-01-27,10,11
635,2019-01-27,11,4
636,2019-01-27,12,1
637,2019-01-27,13,14
638,2019-01-27,14,15
639,2019-01-27,15,11
640,2019-01-27,16,2
641,2019-01-27,17,8
642,2019-01-27,18,6
643,2019-01-27,19,10
644,2019-01-27,20,6
645,2019-01-27,21,6
646,2019-01-27,22,9
647,2019-01-27,23,2
648,2019-01-28,00,0
649,2019-01-28,01,4
650,2019-01-28,02,0
651,2019-01-28,03,0
652,2019-01-28,04,7
653,2019-01-28,05,2
654,2019-01-28,06,9
655,2019-01-28,07,6
656,2019-01-28,08,7
657,2019-01-28,09,40
658,2019-01-28,10,0
659,2019-01-28,11,2
660,2019-01-28,12,15
661,2019-01-28,13,31
662,2019-01-28,14,60
663,2019-01-28,15,53
664,2019-01-28,16,47
665,2019-01-28,17,12
666,2019-01-28,18,4
667,2019-01-28,19,6
668,2019-01-28,20,6
669,2019-01-28,21,30
670,2019-01-28,22,3
671,2019-01-28,23,19
672,2019-01-29,00,3
673,2019-01-29,01,4
674,2019-01-29,02,0
675,2019-01-29,03,0
676,2019-01-29,04,15
677,2019-01-29,05,10
678,2019-01-29,06,6
679,2019-01-29,07,5
680,2019-01-29,08,8
681,2019-01-29,09,23
682,2019-01-29,10,2
683,2019-01-29,11,24
684,2019-01-29,12,3
685,2019-01-29,13,0
686,2019-01-29,14,6
687,2019-01-29,15,4
688,2019-01-29,16,8
689,2019-01-29,17,10
690,2019-01-29,18,7
691,2019-01-29,19,2
692,2019-01-29,20,15
693,2019-01-29,21,10
694,2019-01-29,22,6
695,2019-01-29,23,0
696,2019-01-30,00,40
697,2019-01-30,01,56
698,2019-01-30,02,4
699,2019-01-30,03,0
700,2019-01-30,04,0
701,2019-01-30,05,0
702,2019-01-30,06,0
703,2019-01-30,07,1
704,2019-01-30,08,0
705,2019-01-30,09,2
706,2019-01-30,10,8
707,2019-01-30,11,20
708,2019-01-30,12,0
709,2019-01-30,13,11
710,2019-01-30,14,2
711,2019-01-30,15,7
712,2019-01-30,16,2
713,2019-01-30,17,2
714,2019-01-30,18,5
715,2019-01-30,19,0
716,2019-01-30,20,2
717,2019-01-30,21,1
718,2019-01-30,22,26
719,2019-01-30,23,55
720,2019-01-31,00,60
721,2019-01-31,01,4
722,2019-01-31,02,0
723,2019-01-31,03,0
724,2019-01-31,04,2
725,2019-01-31,05,0
726,2019-01-31,06,0
727,2019-01-31,07,0
728,2019-01-31,08,13
729,2019-01-31,09,8
730,2019-01-31,10,28
731,2019-01-31,11,25
732,2019-01-31,12,21
733,2019-01-31,13,3
734,2019-01-31,14,0
735,2019-01-31,15,2
736,2019-01-31,16,1
737,2019-01-31,17,15
738,2019-01-31,18,1
739,2019-01-31,19,3
740,2019-01-31,20,2
741,2019-01-31,21,5
742,2019-01-31,22,12
743,2019-01-31,23,60
744,2019-02-01,00,34
745,2019-02-01,01,38
746,2019-02-01,02,3
747,2019-02-01,03,1
748,2019-02-01,04,0
749,2019-02-01,05,1
750,2019-02-01,06,3
751,2019-02-01,07,0
752,2019-02-01,08,1
753,2019-02-01,09,0
754,2019-02-01,10,7
755,2019-02-01,11,5
756,2019-02-01,12,2
757,2019-02-01,13,3
758,2019-02-01,14,5
759,2019-02-01,15,3
760,2019-02-01,16,4
761,2019-02-01,17,3
762,2019-02-01,18,2
763,2019-02-01,19,2
764,2019-02-01,20,2
765,2019-02-01,21,9
766,2019-02-01,22,7
767,2019-02-01,23,1
768,2019-02-02,00,6
769,2019-02-02,01,44
770,2019-02-02,02,0
771,2019-02-02,03,0
772,2019-02-02,04,4
773,2019-02-02,05,0
774,2019-02-02,06,3
775,2019-02-02,07,10
776,2019-02-02,08,4
777,2019-02-02,09,2
778,2019-02-02,10,2
779,2019-02-02,11,0
780,2019-02-02,12,4
781,2019-02-02,13,2
782,2019-02-02,14,9
783,2019-02-02,15,6
784,2019-02-02,16,15
785,2019-02-02,17,14
786,2019-02-02,18,4
787,2019-02-02,19,1
788,2019-02-02,20,0
789,2019-02-02,21,1
790,2019-02-02,22,4
791,2019-02-02,23,3
792,2019-02-03,00,1
793,2019-02-03,01,1
794,2019-02-03,02,0
795,2019-02-03,03,0
796,2019-02-03,04,0
797,2019-02-03,05,1
798,2019-02-03,06,1
799,2019-02-03,07,39
800,2019-02-03,08,5
801,2019-02-03,09,58
802,2019-02-03,10,12
803,2019-02-03,11,10
804,2019-02-03,12,4
805,2019-02-03,13,2
806,2019-02-03,14,3
807,2019-02-03,15,6
808,2019-02-03,16,4
809,2019-02-03,17,2
810,2019-02-03,18,2
811,2019-02-03,19,1
812,2019-02-03,20,1
813,2019-02-03,21,16
814,2019-02-03,22,18
815,2019-02-03,23,2
816,2019-02-04,00,4
817,2019-02-04,01,5
818,2019-02-04,02,12
819,2019-02-04,03,2
820,2019-02-04,04,0
821,2019-02-04,05,2
822,2019-02-04,06,0
823,2019-02-04,07,3
824,2019-02-04,08,1
825,2019-02-04,09,2
826,2019-02-04,10,0
827,2019-02-04,11,3
828,2019-02-04,12,0
829,2019-02-04,13,1
830,2019-02-04,14,3
831,2019-02-04,15,4
832,2019-02-04,16,2
833,2019-02-04,17,1
834,2019-02-04,18,11
835,2019-02-04,19,4
836,2019-02-04,20,3
837,2019-02-04,21,33
838,2019-02-04,22,5
839,2019-02-04,23,6
840,2019-02-05,00,1
841,2019-02-05,01,15
842,2019-02-05,02,0
843,2019-02-05,03,3
844,2019-02-05,04,0
845,2019-02-05,05,1
846,2019-02-05,06,0
847,2019-02-05,07,0
848,2019-02-05,08,0
849,2019-02-05,09,3
850,2019-02-05,10,25
851,2019-02-05,11,3
852,2019-02-05,12,0
853,2019-02-05,13,5
854,2019-02-05,14,0
855,2019-02-05,15,2
856,2019-02-05,16,7
857,2019-02-05,17,0
858,2019-02-05,18,0
859,2019-02-05,19,14
860,2019-02-05,20,9
861,2019-02-05,21,7
862,2019-02-05,22,2
863,2019-02-05,23,6
864,2019-02-06,00,18
865,2019-02-06,01,60
866,2019-02-06,02,0
867,2019-02-06,03,0
868,2019-02-06,04,4
869,2019-02-06,05,0
870,2019-02-06,06,0
871,2019-02-06,07,2
872,2019-02-06,08,0
873,2019-02-06,09,6
874,2019-02-06,10,9
875,2019-02-06,11,2
876,2019-02-06,12,5
877,2019-02-06,13,9
878,2019-02-06,14,0
879,2019-02-06,15,7
880,2019-02-06,16,15
881,2019-02-06,17,34
882,2019-02-06,18,40
883,2019-02-06,19,2
884,2019-02-06,20,0
885,2019-02-06,21,15
886,2019-02-06,22,4
887,2019-02-06,23,2
888,2019-02-07,00,7
889,2019-02-07,01,0
890,2019-02-07,02,30
891,2019-02-07,03,42
892,2019-02-07,04,0
893,2019-02-07,05,8
894,2019-02-07,06,43
895,2019-02-07,07,3
896,2019-02-07,08,5
897,2019-02-07,09,1
898,2019-02-07,10,2
899,2019-02-07,11,16
900,2019-02-07,12,10
901,2019-02-07,13,10
902,2019-02-07,14,3
903,2019-02-07,15,4
904,2019-02-07,16,14
905,2019-02-07,17,7
906,2019-02-07,18,9
907,2019-02-07,19,2
908,2019-02-07,20,9
909,2019-02-07,21,7
910,2019-02-07,22,15
911,2019-02-07,23,42
912,2019-02-08,00,5
913,2019-02-08,01,35
914,2019-02-08,02,2
915,2019-02-08,03,0
916,2019-02-08,04,3
917,2019-02-08,05,5
918,2019-02-08,06,4
919,2019-02-08,07,2
920,2019-02-08,08,2
921,2019-02-08,09,6
922,2019-02-08,10,55
923,2019-02-08,11,54
924,2019-02-08,12,60
925,2019-02-08,13,47
926,2019-02-08,14,2
927,2019-02-08,15,18
928,2019-02-08,16,4
929,2019-02-08,17,22
930,2019-02-08,18,4
931,2019-02-08,19,2
932,2019-02-08,20,9
933,2019-02-08,21,7
934,2019-02-08,22,6
935,2019-02-08,23,8
936,2019-02-09,00,0
937,2019-02-09,01,0
938,2019-02-09,02,40
939,2019-02-09,03,0
940,2019-02-09,04,0
941,2019-02-09,05,11
942,2019-02-09,06,6
943,2019-02-09,07,2
944,2019-02-09,08,5
945,2019-02-09,09,3
946,2019-02-09,10,26
947,2019-02-09,11,6
948,2019-02-09,12,13
949,2019-02-09,13,21
950,2019-02-09,14,4
951,2019-02-09,15,7
952,2019-02-09,16,7
953,2019-02-09,17,4
954,2019-02-09,18,0
955,2019-02-09,19,7
956,2019-02-09,20,2
957,2019-02-09,21,5
958,2019-02-09,22,1
959,2019-02-09,23,6
960,2019-02-10,00,4
961,2019-02-10,01,7
962,2019-02-10,02,2
963,2019-02-10,03,0
964,2019-02-10,04,0
965,2019-02-10,05,4
966,2019-02-10,06,2
967,2019-02-10,07,13
968,2019-02-10,08,7
969,2019-02-10,09,5
970,2019-02-10,10,16
971,2019-02-10,11,1
972,2019-02-10,12,6
973,2019-02-10,13,1
974,2019-02-10,14,1
975,2019-02-10,15,31
976,2019-02-10,16,6
977,2019-02-10,17,3
978,2019-02-10,18,0
979,2019-02-10,19,13
980,2019-02-10,20,4
981,2019-02-10,21,2
982,2019-02-10,22,3
983,2019-02-10,23,27
984,2019-02-11,00,60
985,2019-02-11,01,60
986,2019-02-11,02,60
987,2019-02-11,03,51
988,2019-02-11,04,0
989,2019-02-11,05,0
990,2019-02-11,06,0
991,2019-02-11,07,1
992,2019-02-11,08,9
993,2019-02-11,09,0
994,2019-02-11,10,1
995,2019-02-11,11,42
996,2019-02-11,12,24
997,2019-02-11,13,6
998,2019-02-11,14,0
999,2019-02-11,15,10
1000,2019-02-11,16,5
1001,2019-02-11,17,7
1002,2019-02-11,18,0
1003,2019-02-11,19,5
1004,2019-02-11,20,4
1005,2019-02-11,21,6
1006,2019-02-11,22,16
1007,2019-02-11,23,23
1008,2019-02-12,00,10
1009,2019-02-12,01,10
1010,2019-02-12,02,1
1011,2019-02-12,03,0
1012,2019-02-12,04,0
1013,2019-02-12,05,0
1014,2019-02-12,06,1
1015,2019-02-12,07,4
1016,2019-02-12,08,21
1017,2019-02-12,09,1
1018,2019-02-12,10,3
1019,2019-02-12,11,3
1020,2019-02-12,12,0
1021,2019-02-12,13,1
1022,2019-02-12,14,4
1023,2019-02-12,15,25
1024,2019-02-12,16,15
1025,2019-02-12,17,41
1026,2019-02-12,18,36
1027,2019-02-12,19,4
1028,2019-02-12,20,16
1029,2019-02-12,21,2
1030,2019-02-12,22,4
1031,2019-02-12,23,16
1032,2019-02-13,00,1
1033,2019-02-13,01,5
1034,2019-02-13,02,1
1035,2019-02-13,03,0
1036,2019-02-13,04,0
1037,2019-02-13,05,2
1038,2019-02-13,06,1
1039,2019-02-13,07,2
1040,2019-02-13,08,6
1041,2019-02-13,09,30
1042,2019-02-13,10,60
1043,2019-02-13,11,60
1044,2019-02-13,12,4
1045,2019-02-13,13,14
1046,2019-02-13,14,3
1047,2019-02-13,15,5
1048,2019-02-13,16,5
1049,2019-02-13,17,16
1050,2019-02-13,18,11
1051,2019-02-13,19,1
1052,2019-02-13,20,2
1053,2019-02-13,21,22
1054,2019-02-13,22,40
1055,2019-02-13,23,21
1056,2019-02-14,00,11
1057,2019-02-14,01,4
1058,2019-02-14,02,0
1059,2019-02-14,03,0
1060,2019-02-14,04,0
1061,2019-02-14,05,0
1062,2019-02-14,06,0
1063,2019-02-14,07,2
1064,2019-02-14,08,2
1065,2019-02-14,09,2
1066,2019-02-14,10,4
1067,2019-02-14,11,0
1068,2019-02-14,12,19
1069,2019-02-14,13,4
