,date,month,hour,rate,weekday,min_c,max_c,rain,snow,PM,state
33,2019-01-02,1,09,0.03,수,-8.8,0.2,0,0,33.08,보통
34,2019-01-02,1,10,0.026,수,-8.8,0.2,0,0,33.08,보통
35,2019-01-02,1,11,0.058,수,-8.8,0.2,0,0,33.08,보통
36,2019-01-02,1,12,0.037,수,-8.8,0.2,0,0,33.08,보통
37,2019-01-02,1,13,0.066,수,-8.8,0.2,0,0,33.08,보통
38,2019-01-02,1,14,0.022,수,-8.8,0.2,0,0,33.08,보통
39,2019-01-02,1,15,0.056,수,-8.8,0.2,0,0,33.08,보통
40,2019-01-02,1,16,0.03,수,-8.8,0.2,0,0,33.08,보통
41,2019-01-02,1,17,0.033,수,-8.8,0.2,0,0,33.08,보통
42,2019-01-02,1,18,0.073,수,-8.8,0.2,0,0,33.08,보통
43,2019-01-02,1,19,0.03,수,-8.8,0.2,0,0,33.08,보통
44,2019-01-02,1,20,0.018,수,-8.8,0.2,0,0,33.08,보통
45,2019-01-02,1,21,0.015,수,-8.8,0.2,0,0,33.08,보통
46,2019-01-02,1,22,0.037,수,-8.8,0.2,0,0,33.08,보통
47,2019-01-02,1,23,0.061,수,-8.8,0.2,0,0,33.08,보통
48,2019-01-03,1,00,0.015,목,-8.4,3.2,0,0,38.8,보통
49,2019-01-03,1,01,0.004,목,-8.4,3.2,0,0,38.8,보통
50,2019-01-03,1,02,0.014,목,-8.4,3.2,0,0,38.8,보통
51,2019-01-03,1,03,0.033,목,-8.4,3.2,0,0,38.8,보통
52,2019-01-03,1,04,0.015,목,-8.4,3.2,0,0,38.8,보통
53,2019-01-03,1,05,0.015,목,-8.4,3.2,0,0,38.8,보통
54,2019-01-03,1,06,0.024,목,-8.4,3.2,0,0,38.8,보통
55,2019-01-03,1,07,0.052,목,-8.4,3.2,0,0,38.8,보통
56,2019-01-03,1,08,0.023,목,-8.4,3.2,0,0,38.8,보통
57,2019-01-03,1,09,0.012,목,-8.4,3.2,0,0,38.8,보통
58,2019-01-03,1,10,0.026,목,-8.4,3.2,0,0,38.8,보통
59,2019-01-03,1,11,0.038,목,-8.4,3.2,0,0,38.8,보통
60,2019-01-03,1,12,0.015,목,-8.4,3.2,0,0,38.8,보통
61,2019-01-03,1,13,0.007,목,-8.4,3.2,0,0,38.8,보통
62,2019-01-03,1,14,0.039,목,-8.4,3.2,0,0,38.8,보통
63,2019-01-03,1,15,0.0,목,-8.4,3.2,0,0,38.8,보통
64,2019-01-03,1,16,0.056,목,-8.4,3.2,0,0,38.8,보통
65,2019-01-03,1,17,0.032,목,-8.4,3.2,0,0,38.8,보통
66,2019-01-03,1,18,0.042,목,-8.4,3.2,0,0,38.8,보통
67,2019-01-03,1,19,0.034,목,-8.4,3.2,0,0,38.8,보통
68,2019-01-03,1,20,0.022,목,-8.4,3.2,0,0,38.8,보통
69,2019-01-03,1,21,0.008,목,-8.4,3.2,0,0,38.8,보통
70,2019-01-03,1,22,0.027,목,-8.4,3.2,0,0,38.8,보통
71,2019-01-03,1,23,0.073,목,-8.4,3.2,0,0,38.8,보통
72,2019-01-04,1,00,0.0,금,-6.2,4.1,0,0,59.44,보통
73,2019-01-04,1,01,0.047,금,-6.2,4.1,0,0,59.44,보통
74,2019-01-04,1,02,0.014,금,-6.2,4.1,0,0,59.44,보통
75,2019-01-04,1,03,0.014,금,-6.2,4.1,0,0,59.44,보통
76,2019-01-04,1,04,0.0,금,-6.2,4.1,0,0,59.44,보통
77,2019-01-04,1,05,0.0,금,-6.2,4.1,0,0,59.44,보통
78,2019-01-04,1,06,0.004,금,-6.2,4.1,0,0,59.44,보통
79,2019-01-04,1,07,0.0,금,-6.2,4.1,0,0,59.44,보통
80,2019-01-04,1,08,0.059,금,-6.2,4.1,0,0,59.44,보통
81,2019-01-04,1,09,0.044,금,-6.2,4.1,0,0,59.44,보통
82,2019-01-04,1,10,0.011,금,-6.2,4.1,0,0,59.44,보통
83,2019-01-04,1,11,0.035,금,-6.2,4.1,0,0,59.44,보통
84,2019-01-04,1,12,0.033,금,-6.2,4.1,0,0,59.44,보통
85,2019-01-04,1,13,0.059,금,-6.2,4.1,0,0,59.44,보통
86,2019-01-04,1,14,0.021,금,-6.2,4.1,0,0,59.44,보통
87,2019-01-04,1,15,0.036,금,-6.2,4.1,0,0,59.44,보통
88,2019-01-04,1,16,0.015,금,-6.2,4.1,0,0,59.44,보통
89,2019-01-04,1,17,0.018,금,-6.2,4.1,0,0,59.44,보통
90,2019-01-04,1,18,0.011,금,-6.2,4.1,0,0,59.44,보통
91,2019-01-04,1,19,0.01,금,-6.2,4.1,0,0,59.44,보통
92,2019-01-04,1,20,0.0,금,-6.2,4.1,0,0,59.44,보통
93,2019-01-04,1,21,0.054,금,-6.2,4.1,0,0,59.44,보통
94,2019-01-04,1,22,0.055,금,-6.2,4.1,0,0,59.44,보통
95,2019-01-04,1,23,0.035,금,-6.2,4.1,0,0,59.44,보통
96,2019-01-05,1,00,0.037,토,-5.5,1.1,0,0,65.72,보통
97,2019-01-05,1,01,0.042,토,-5.5,1.1,0,0,65.72,보통
98,2019-01-05,1,02,0.0,토,-5.5,1.1,0,0,65.72,보통
99,2019-01-05,1,03,0.0,토,-5.5,1.1,0,0,65.72,보통
100,2019-01-05,1,04,0.0,토,-5.5,1.1,0,0,65.72,보통
101,2019-01-05,1,05,0.026,토,-5.5,1.1,0,0,65.72,보통
102,2019-01-05,1,06,0.026,토,-5.5,1.1,0,0,65.72,보통
103,2019-01-05,1,07,0.023,토,-5.5,1.1,0,0,65.72,보통
104,2019-01-05,1,08,0.029,토,-5.5,1.1,0,0,65.72,보통
105,2019-01-05,1,09,0.022,토,-5.5,1.1,0,0,65.72,보통
106,2019-01-05,1,10,0.035,토,-5.5,1.1,0,0,65.72,보통
107,2019-01-05,1,11,0.0,토,-5.5,1.1,0,0,65.72,보통
108,2019-01-05,1,12,0.006,토,-5.5,1.1,0,0,65.72,보통
109,2019-01-05,1,13,0.012,토,-5.5,1.1,0,0,65.72,보통
110,2019-01-05,1,14,0.013,토,-5.5,1.1,0,0,65.72,보통
111,2019-01-05,1,15,0.041,토,-5.5,1.1,0,0,65.72,보통
112,2019-01-05,1,16,0.022,토,-5.5,1.1,0,0,65.72,보통
113,2019-01-05,1,17,0.025,토,-5.5,1.1,0,0,65.72,보통
114,2019-01-05,1,18,0.043,토,-5.5,1.1,0,0,65.72,보통
115,2019-01-05,1,19,0.026,토,-5.5,1.1,0,0,65.72,보통
116,2019-01-05,1,20,0.0,토,-5.5,1.1,0,0,65.72,보통
117,2019-01-05,1,21,0.0,토,-5.5,1.1,0,0,65.72,보통
118,2019-01-05,1,22,0.0,토,-5.5,1.1,0,0,65.72,보통
119,2019-01-05,1,23,0.07,토,-5.5,1.1,0,0,65.72,보통
120,2019-01-06,1,00,0.042,일,-6.3,2.7,0,0,51.08,보통
121,2019-01-06,1,01,0.0,일,-6.3,2.7,0,0,51.08,보통
122,2019-01-06,1,02,0.0,일,-6.3,2.7,0,0,51.08,보통
123,2019-01-06,1,03,0.01,일,-6.3,2.7,0,0,51.08,보통
124,2019-01-06,1,04,0.0,일,-6.3,2.7,0,0,51.08,보통
125,2019-01-06,1,05,0.0,일,-6.3,2.7,0,0,51.08,보통
126,2019-01-06,1,06,0.005,일,-6.3,2.7,0,0,51.08,보통
127,2019-01-06,1,07,0.025,일,-6.3,2.7,0,0,51.08,보통
128,2019-01-06,1,08,0.037,일,-6.3,2.7,0,0,51.08,보통
129,2019-01-06,1,09,0.029,일,-6.3,2.7,0,0,51.08,보통
130,2019-01-06,1,10,0.023,일,-6.3,2.7,0,0,51.08,보통
131,2019-01-06,1,11,0.051,일,-6.3,2.7,0,0,51.08,보통
132,2019-01-06,1,12,0.051,일,-6.3,2.7,0,0,51.08,보통
133,2019-01-06,1,13,0.023,일,-6.3,2.7,0,0,51.08,보통
134,2019-01-06,1,14,0.037,일,-6.3,2.7,0,0,51.08,보통
135,2019-01-06,1,15,0.038,일,-6.3,2.7,0,0,51.08,보통
136,2019-01-06,1,16,0.034,일,-6.3,2.7,0,0,51.08,보통
137,2019-01-06,1,17,0.018,일,-6.3,2.7,0,0,51.08,보통
138,2019-01-06,1,18,0.011,일,-6.3,2.7,0,0,51.08,보통
139,2019-01-06,1,19,0.019,일,-6.3,2.7,0,0,51.08,보통
140,2019-01-06,1,20,0.052,일,-6.3,2.7,0,0,51.08,보통
141,2019-01-06,1,21,0.029,일,-6.3,2.7,0,0,51.08,보통
142,2019-01-06,1,22,0.017,일,-6.3,2.7,0,0,51.08,보통
143,2019-01-06,1,23,0.081,일,-6.3,2.7,0,0,51.08,보통
144,2019-01-07,1,00,0.024,월,-6.2,3.1,0,0,54.88,보통
145,2019-01-07,1,01,0.022,월,-6.2,3.1,0,0,54.88,보통
146,2019-01-07,1,02,0.0,월,-6.2,3.1,0,0,54.88,보통
147,2019-01-07,1,03,0.0,월,-6.2,3.1,0,0,54.88,보통
148,2019-01-07,1,04,0.032,월,-6.2,3.1,0,0,54.88,보통
149,2019-01-07,1,05,0.028,월,-6.2,3.1,0,0,54.88,보통
150,2019-01-07,1,06,0.0,월,-6.2,3.1,0,0,54.88,보통
151,2019-01-07,1,07,0.0,월,-6.2,3.1,0,0,54.88,보통
152,2019-01-07,1,08,0.006,월,-6.2,3.1,0,0,54.88,보통
153,2019-01-07,1,09,0.0,월,-6.2,3.1,0,0,54.88,보통
154,2019-01-07,1,10,0.032,월,-6.2,3.1,0,0,54.88,보통
155,2019-01-07,1,11,0.017,월,-6.2,3.1,0,0,54.88,보통
156,2019-01-07,1,12,0.014,월,-6.2,3.1,0,0,54.88,보통
157,2019-01-07,1,13,0.026,월,-6.2,3.1,0,0,54.88,보통
158,2019-01-07,1,14,0.039,월,-6.2,3.1,0,0,54.88,보통
159,2019-01-07,1,15,0.038,월,-6.2,3.1,0,0,54.88,보통
160,2019-01-07,1,16,0.015,월,-6.2,3.1,0,0,54.88,보통
161,2019-01-07,1,17,0.028,월,-6.2,3.1,0,0,54.88,보통
162,2019-01-07,1,18,0.022,월,-6.2,3.1,0,0,54.88,보통
163,2019-01-07,1,19,0.02,월,-6.2,3.1,0,0,54.88,보통
164,2019-01-07,1,20,0.014,월,-6.2,3.1,0,0,54.88,보통
165,2019-01-07,1,21,0.032,월,-6.2,3.1,0,0,54.88,보통
166,2019-01-07,1,22,0.014,월,-6.2,3.1,0,0,54.88,보통
167,2019-01-07,1,23,0.021,월,-6.2,3.1,0,0,54.88,보통
168,2019-01-08,1,00,0.018,화,-7.2,0.5,0,0,40.72,보통
169,2019-01-08,1,01,0.012,화,-7.2,0.5,0,0,40.72,보통
170,2019-01-08,1,02,0.021,화,-7.2,0.5,0,0,40.72,보통
171,2019-01-08,1,03,0.0,화,-7.2,0.5,0,0,40.72,보통
172,2019-01-08,1,04,0.003,화,-7.2,0.5,0,0,40.72,보통
173,2019-01-08,1,05,0.0,화,-7.2,0.5,0,0,40.72,보통
174,2019-01-08,1,06,0.005,화,-7.2,0.5,0,0,40.72,보통
175,2019-01-08,1,07,0.047,화,-7.2,0.5,0,0,40.72,보통
176,2019-01-08,1,08,0.022,화,-7.2,0.5,0,0,40.72,보통
177,2019-01-08,1,09,0.004,화,-7.2,0.5,0,0,40.72,보통
178,2019-01-08,1,10,0.013,화,-7.2,0.5,0,0,40.72,보통
179,2019-01-08,1,11,0.038,화,-7.2,0.5,0,0,40.72,보통
180,2019-01-08,1,12,0.038,화,-7.2,0.5,0,0,40.72,보통
181,2019-01-08,1,13,0.013,화,-7.2,0.5,0,0,40.72,보통
182,2019-01-08,1,14,0.014,화,-7.2,0.5,0,0,40.72,보통
183,2019-01-08,1,15,0.007,화,-7.2,0.5,0,0,40.72,보통
184,2019-01-08,1,16,0.028,화,-7.2,0.5,0,0,40.72,보통
185,2019-01-08,1,17,0.037,화,-7.2,0.5,0,0,40.72,보통
186,2019-01-08,1,18,0.013,화,-7.2,0.5,0,0,40.72,보통
187,2019-01-08,1,19,0.078,화,-7.2,0.5,0,0,40.72,보통
188,2019-01-08,1,20,0.037,화,-7.2,0.5,0,0,40.72,보통
189,2019-01-08,1,21,0.032,화,-7.2,0.5,0,0,40.72,보통
190,2019-01-08,1,22,0.009,화,-7.2,0.5,0,0,40.72,보통
191,2019-01-08,1,23,0.02,화,-7.2,0.5,0,0,40.72,보통
192,2019-01-09,1,00,0.0,수,-9.4,1.3,0,0,50.2,보통
193,2019-01-09,1,01,0.004,수,-9.4,1.3,0,0,50.2,보통
194,2019-01-09,1,02,0.0,수,-9.4,1.3,0,0,50.2,보통
195,2019-01-09,1,03,0.0,수,-9.4,1.3,0,0,50.2,보통
196,2019-01-09,1,04,0.0,수,-9.4,1.3,0,0,50.2,보통
197,2019-01-09,1,05,0.0,수,-9.4,1.3,0,0,50.2,보통
198,2019-01-09,1,06,0.009,수,-9.4,1.3,0,0,50.2,보통
199,2019-01-09,1,07,0.0,수,-9.4,1.3,0,0,50.2,보통
200,2019-01-09,1,08,0.015,수,-9.4,1.3,0,0,50.2,보통
201,2019-01-09,1,09,0.023,수,-9.4,1.3,0,0,50.2,보통
202,2019-01-09,1,10,0.019,수,-9.4,1.3,0,0,50.2,보통
203,2019-01-09,1,11,0.007,수,-9.4,1.3,0,0,50.2,보통
204,2019-01-09,1,12,0.013,수,-9.4,1.3,0,0,50.2,보통
205,2019-01-09,1,13,0.038,수,-9.4,1.3,0,0,50.2,보통
206,2019-01-09,1,14,0.021,수,-9.4,1.3,0,0,50.2,보통
207,2019-01-09,1,15,0.049,수,-9.4,1.3,0,0,50.2,보통
208,2019-01-09,1,16,0.031,수,-9.4,1.3,0,0,50.2,보통
209,2019-01-09,1,17,0.007,수,-9.4,1.3,0,0,50.2,보통
210,2019-01-09,1,18,0.022,수,-9.4,1.3,0,0,50.2,보통
211,2019-01-09,1,19,0.031,수,-9.4,1.3,0,0,50.2,보통
212,2019-01-09,1,20,0.014,수,-9.4,1.3,0,0,50.2,보통
213,2019-01-09,1,21,0.029,수,-9.4,1.3,0,0,50.2,보통
214,2019-01-09,1,22,0.011,수,-9.4,1.3,0,0,50.2,보통
215,2019-01-09,1,23,0.005,수,-9.4,1.3,0,0,50.2,보통
216,2019-01-10,1,00,0.055,목,-4.5,3.0,0,0,57.88,보통
217,2019-01-10,1,01,0.013,목,-4.5,3.0,0,0,57.88,보통
218,2019-01-10,1,02,0.014,목,-4.5,3.0,0,0,57.88,보통
219,2019-01-10,1,03,0.036,목,-4.5,3.0,0,0,57.88,보통
220,2019-01-10,1,04,0.036,목,-4.5,3.0,0,0,57.88,보통
221,2019-01-10,1,05,0.0,목,-4.5,3.0,0,0,57.88,보통
222,2019-01-10,1,06,0.016,목,-4.5,3.0,0,0,57.88,보통
223,2019-01-10,1,07,0.015,목,-4.5,3.0,0,0,57.88,보통
224,2019-01-10,1,08,0.016,목,-4.5,3.0,0,0,57.88,보통
225,2019-01-10,1,09,0.036,목,-4.5,3.0,0,0,57.88,보통
226,2019-01-10,1,10,0.0,목,-4.5,3.0,0,0,57.88,보통
227,2019-01-10,1,11,0.011,목,-4.5,3.0,0,0,57.88,보통
228,2019-01-10,1,12,0.014,목,-4.5,3.0,0,0,57.88,보통
229,2019-01-10,1,13,0.03,목,-4.5,3.0,0,0,57.88,보통
230,2019-01-10,1,14,0.018,목,-4.5,3.0,0,0,57.88,보통
231,2019-01-10,1,15,0.027,목,-4.5,3.0,0,0,57.88,보통
232,2019-01-10,1,16,0.014,목,-4.5,3.0,0,0,57.88,보통
233,2019-01-10,1,17,0.089,목,-4.5,3.0,0,0,57.88,보통
234,2019-01-10,1,18,0.042,목,-4.5,3.0,0,0,57.88,보통
235,2019-01-10,1,19,0.0,목,-4.5,3.0,0,0,57.88,보통
236,2019-01-10,1,20,0.019,목,-4.5,3.0,0,0,57.88,보통
237,2019-01-10,1,21,0.035,목,-4.5,3.0,0,0,57.88,보통
238,2019-01-10,1,22,0.0,목,-4.5,3.0,0,0,57.88,보통
239,2019-01-10,1,23,0.032,목,-4.5,3.0,0,0,57.88,보통
240,2019-01-11,1,00,0.034,금,-0.4,7.2,0,0,77.28,보통
241,2019-01-11,1,01,0.014,금,-0.4,7.2,0,0,77.28,보통
242,2019-01-11,1,02,0.0,금,-0.4,7.2,0,0,77.28,보통
243,2019-01-11,1,03,0.014,금,-0.4,7.2,0,0,77.28,보통
244,2019-01-11,1,04,0.009,금,-0.4,7.2,0,0,77.28,보통
245,2019-01-11,1,05,0.007,금,-0.4,7.2,0,0,77.28,보통
246,2019-01-11,1,06,0.0,금,-0.4,7.2,0,0,77.28,보통
247,2019-01-11,1,07,0.0,금,-0.4,7.2,0,0,77.28,보통
248,2019-01-11,1,08,0.034,금,-0.4,7.2,0,0,77.28,보통
249,2019-01-11,1,09,0.025,금,-0.4,7.2,0,0,77.28,보통
250,2019-01-11,1,10,0.014,금,-0.4,7.2,0,0,77.28,보통
251,2019-01-11,1,11,0.027,금,-0.4,7.2,0,0,77.28,보통
252,2019-01-11,1,12,0.027,금,-0.4,7.2,0,0,77.28,보통
253,2019-01-11,1,13,0.0,금,-0.4,7.2,0,0,77.28,보통
254,2019-01-11,1,14,0.014,금,-0.4,7.2,0,0,77.28,보통
255,2019-01-11,1,15,0.009,금,-0.4,7.2,0,0,77.28,보통
256,2019-01-11,1,16,0.05,금,-0.4,7.2,0,0,77.28,보통
257,2019-01-11,1,17,0.017,금,-0.4,7.2,0,0,77.28,보통
258,2019-01-11,1,18,0.007,금,-0.4,7.2,0,0,77.28,보통
259,2019-01-11,1,19,0.034,금,-0.4,7.2,0,0,77.28,보통
260,2019-01-11,1,20,0.0,금,-0.4,7.2,0,0,77.28,보통
261,2019-01-11,1,21,0.028,금,-0.4,7.2,0,0,77.28,보통
262,2019-01-11,1,22,0.033,금,-0.4,7.2,0,0,77.28,보통
263,2019-01-11,1,23,0.0,금,-0.4,7.2,0,0,77.28,보통
264,2019-01-12,1,00,0.031,토,-0.6,8.0,0,0,96.2,나쁨
265,2019-01-12,1,01,0.0,토,-0.6,8.0,0,0,96.2,나쁨
266,2019-01-12,1,02,0.055,토,-0.6,8.0,0,0,96.2,나쁨
267,2019-01-12,1,03,0.0,토,-0.6,8.0,0,0,96.2,나쁨
268,2019-01-12,1,04,0.023,토,-0.6,8.0,0,0,96.2,나쁨
269,2019-01-12,1,05,0.0,토,-0.6,8.0,0,0,96.2,나쁨
270,2019-01-12,1,06,0.024,토,-0.6,8.0,0,0,96.2,나쁨
271,2019-01-12,1,07,0.019,토,-0.6,8.0,0,0,96.2,나쁨
272,2019-01-12,1,08,0.036,토,-0.6,8.0,0,0,96.2,나쁨
273,2019-01-12,1,09,0.023,토,-0.6,8.0,0,0,96.2,나쁨
274,2019-01-12,1,10,0.024,토,-0.6,8.0,0,0,96.2,나쁨
275,2019-01-12,1,11,0.0,토,-0.6,8.0,0,0,96.2,나쁨
276,2019-01-12,1,12,0.024,토,-0.6,8.0,0,0,96.2,나쁨
277,2019-01-12,1,13,0.007,토,-0.6,8.0,0,0,96.2,나쁨
278,2019-01-12,1,14,0.011,토,-0.6,8.0,0,0,96.2,나쁨
279,2019-01-12,1,15,0.044,토,-0.6,8.0,0,0,96.2,나쁨
280,2019-01-12,1,16,0.043,토,-0.6,8.0,0,0,96.2,나쁨
281,2019-01-12,1,17,0.027,토,-0.6,8.0,0,0,96.2,나쁨
282,2019-01-12,1,18,0.007,토,-0.6,8.0,0,0,96.2,나쁨
283,2019-01-12,1,19,0.028,토,-0.6,8.0,0,0,96.2,나쁨
284,2019-01-12,1,20,0.008,토,-0.6,8.0,0,0,96.2,나쁨
285,2019-01-12,1,21,0.015,토,-0.6,8.0,0,0,96.2,나쁨
286,2019-01-12,1,22,0.056,토,-0.6,8.0,0,0,96.2,나쁨
287,2019-01-12,1,23,0.017,토,-0.6,8.0,0,0,96.2,나쁨
288,2019-01-13,1,00,0.082,일,-3.0,7.6,0,0,111.96,나쁨
289,2019-01-13,1,01,0.013,일,-3.0,7.6,0,0,111.96,나쁨
290,2019-01-13,1,02,0.037,일,-3.0,7.6,0,0,111.96,나쁨
291,2019-01-13,1,03,0.0,일,-3.0,7.6,0,0,111.96,나쁨
292,2019-01-13,1,04,0.0,일,-3.0,7.6,0,0,111.96,나쁨
293,2019-01-13,1,05,0.0,일,-3.0,7.6,0,0,111.96,나쁨
294,2019-01-13,1,06,0.083,일,-3.0,7.6,0,0,111.96,나쁨
295,2019-01-13,1,07,0.053,일,-3.0,7.6,0,0,111.96,나쁨
296,2019-01-13,1,08,0.009,일,-3.0,7.6,0,0,111.96,나쁨
297,2019-01-13,1,09,0.007,일,-3.0,7.6,0,0,111.96,나쁨
298,2019-01-13,1,10,0.008,일,-3.0,7.6,0,0,111.96,나쁨
299,2019-01-13,1,11,0.02,일,-3.0,7.6,0,0,111.96,나쁨
300,2019-01-13,1,12,0.015,일,-3.0,7.6,0,0,111.96,나쁨
301,2019-01-13,1,13,0.047,일,-3.0,7.6,0,0,111.96,나쁨
302,2019-01-13,1,14,0.016,일,-3.0,7.6,0,0,111.96,나쁨
303,2019-01-13,1,15,0.046,일,-3.0,7.6,0,0,111.96,나쁨
304,2019-01-13,1,16,0.042,일,-3.0,7.6,0,0,111.96,나쁨
305,2019-01-13,1,17,0.0,일,-3.0,7.6,0,0,111.96,나쁨
306,2019-01-13,1,18,0.008,일,-3.0,7.6,0,0,111.96,나쁨
307,2019-01-13,1,19,0.072,일,-3.0,7.6,0,0,111.96,나쁨
308,2019-01-13,1,20,0.005,일,-3.0,7.6,0,0,111.96,나쁨
309,2019-01-13,1,21,0.0,일,-3.0,7.6,0,0,111.96,나쁨
310,2019-01-13,1,22,0.05,일,-3.0,7.6,0,0,111.96,나쁨
311,2019-01-13,1,23,0.023,일,-3.0,7.6,0,0,111.96,나쁨
312,2019-01-14,1,00,0.03,월,-2.4,5.3,0,0,164.8,매우나쁨
313,2019-01-14,1,01,0.086,월,-2.4,5.3,0,0,164.8,매우나쁨
314,2019-01-14,1,02,0.0,월,-2.4,5.3,0,0,164.8,매우나쁨
315,2019-01-14,1,03,0.022,월,-2.4,5.3,0,0,164.8,매우나쁨
316,2019-01-14,1,04,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
317,2019-01-14,1,05,0.025,월,-2.4,5.3,0,0,164.8,매우나쁨
318,2019-01-14,1,06,0.0,월,-2.4,5.3,0,0,164.8,매우나쁨
319,2019-01-14,1,07,0.035,월,-2.4,5.3,0,0,164.8,매우나쁨
320,2019-01-14,1,08,0.025,월,-2.4,5.3,0,0,164.8,매우나쁨
321,2019-01-14,1,09,0.034,월,-2.4,5.3,0,0,164.8,매우나쁨
322,2019-01-14,1,10,0.033,월,-2.4,5.3,0,0,164.8,매우나쁨
323,2019-01-14,1,11,0.03,월,-2.4,5.3,0,0,164.8,매우나쁨
324,2019-01-14,1,12,0.04,월,-2.4,5.3,0,0,164.8,매우나쁨
325,2019-01-14,1,13,0.031,월,-2.4,5.3,0,0,164.8,매우나쁨
326,2019-01-14,1,14,0.071,월,-2.4,5.3,0,0,164.8,매우나쁨
327,2019-01-14,1,15,0.051,월,-2.4,5.3,0,0,164.8,매우나쁨
328,2019-01-14,1,16,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
329,2019-01-14,1,17,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
330,2019-01-14,1,18,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
331,2019-01-14,1,19,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
332,2019-01-14,1,20,0.038,월,-2.4,5.3,0,0,164.8,매우나쁨
333,2019-01-14,1,21,0.022,월,-2.4,5.3,0,0,164.8,매우나쁨
334,2019-01-14,1,22,0.014,월,-2.4,5.3,0,0,164.8,매우나쁨
335,2019-01-14,1,23,0.03,월,-2.4,5.3,0,0,164.8,매우나쁨
336,2019-01-15,1,00,0.014,화,-7.2,2.6,0,0,140.0,나쁨
337,2019-01-15,1,01,0.014,화,-7.2,2.6,0,0,140.0,나쁨
338,2019-01-15,1,02,0.036,화,-7.2,2.6,0,0,140.0,나쁨
339,2019-01-15,1,03,0.0,화,-7.2,2.6,0,0,140.0,나쁨
340,2019-01-15,1,04,0.017,화,-7.2,2.6,0,0,140.0,나쁨
341,2019-01-15,1,05,0.0,화,-7.2,2.6,0,0,140.0,나쁨
342,2019-01-15,1,06,0.0,화,-7.2,2.6,0,0,140.0,나쁨
343,2019-01-15,1,07,0.035,화,-7.2,2.6,0,0,140.0,나쁨
344,2019-01-15,1,08,0.053,화,-7.2,2.6,0,0,140.0,나쁨
345,2019-01-15,1,09,0.024,화,-7.2,2.6,0,0,140.0,나쁨
346,2019-01-15,1,10,0.014,화,-7.2,2.6,0,0,140.0,나쁨
347,2019-01-15,1,11,0.026,화,-7.2,2.6,0,0,140.0,나쁨
348,2019-01-15,1,12,0.023,화,-7.2,2.6,0,0,140.0,나쁨
349,2019-01-15,1,13,0.014,화,-7.2,2.6,0,0,140.0,나쁨
